epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,618.249,0.35241,0.39319,0.86177,0.98838,0.99722,0.99248,0.94683,0.29119,0.16091,0.79093,0.000205061,0.000205061,0.000205061
74,625.813,0.34979,0.38267,0.86303,0.98935,0.99722,0.99194,0.94952,0.2886,0.15856,0.78585,0.000197992,0.000197992,0.000197992
75,633.416,0.33486,0.39477,0.86056,0.98886,0.99722,0.9919,0.95094,0.28481,0.15789,0.7865,0.000190924,0.000190924,0.000190924
76,640.874,0.34622,0.3838,0.86627,0.98918,0.99722,0.99121,0.94903,0.28912,0.1489,0.78881,0.000183855,0.000183855,0.000183855
77,648.073,0.33231,0.36236,0.85265,0.98907,0.99722,0.99229,0.95104,0.27988,0.15084,0.78605,0.000176786,0.000176786,0.000176786
78,655.281,0.34203,0.3819,0.86231,0.98976,0.99722,0.99158,0.94755,0.28651,0.15416,0.78974,0.000169718,0.000169718,0.000169718
79,662.874,0.35031,0.39321,0.86311,0.98881,0.99722,0.992,0.94969,0.29785,0.15962,0.79185,0.000162649,0.000162649,0.000162649
80,670.136,0.31758,0.36608,0.85424,0.98912,0.99722,0.9916,0.94635,0.2848,0.15037,0.78947,0.000155581,0.000155581,0.000155581
81,677.845,0.33623,0.38149,0.86204,0.98972,0.99722,0.992,0.94779,0.27834,0.15211,0.78946,0.000148512,0.000148512,0.000148512
82,685.254,0.34091,0.38086,0.86259,0.99028,0.99722,0.99186,0.94622,0.30442,0.16582,0.79469,0.000141443,0.000141443,0.000141443
83,692.777,0.34098,0.37332,0.85533,0.99003,0.99722,0.99189,0.95,0.27909,0.15211,0.78755,0.000134375,0.000134375,0.000134375
84,700.374,0.33801,0.39093,0.86336,0.98912,0.99722,0.9924,0.9505,0.29471,0.15392,0.79124,0.000127306,0.000127306,0.000127306
85,707.767,0.34127,0.38436,0.86209,0.98984,0.99722,0.99106,0.94876,0.27985,0.14827,0.78764,0.000120238,0.000120238,0.000120238
86,715.235,0.33019,0.37066,0.86044,0.98833,0.99722,0.99126,0.94925,0.28495,0.14867,0.78856,0.000113169,0.000113169,0.000113169
87,723.036,0.32283,0.36566,0.85274,0.98876,0.99722,0.99183,0.95243,0.28536,0.1434,0.78837,0.0001061,0.0001061,0.0001061
88,730.942,0.32168,0.34255,0.85836,0.98927,0.99722,0.99263,0.94906,0.2963,0.14714,0.79068,9.90318e-05,9.90318e-05,9.90318e-05
89,738.294,0.3232,0.35624,0.8517,0.98909,0.99722,0.99217,0.95071,0.2885,0.1488,0.78942,9.19632e-05,9.19632e-05,9.19632e-05
90,745.655,0.31807,0.36944,0.85526,0.98846,0.99722,0.99156,0.95087,0.28367,0.14791,0.7887,8.48946e-05,8.48946e-05,8.48946e-05
91,753.331,0.26756,0.16565,0.83422,0.98941,0.99722,0.99179,0.94898,0.28569,0.14991,0.7876,7.7826e-05,7.7826e-05,7.7826e-05
92,760.207,0.26673,0.16513,0.8321,0.98929,0.99722,0.99224,0.95067,0.286,0.14783,0.78873,7.07574e-05,7.07574e-05,7.07574e-05
93,766.783,0.27135,0.16519,0.83451,0.98974,0.99722,0.99171,0.94851,0.29431,0.15578,0.79058,6.36888e-05,6.36888e-05,6.36888e-05
94,773.427,0.26724,0.16526,0.83747,0.98968,0.99722,0.99151,0.94848,0.28511,0.14711,0.78866,5.66202e-05,5.66202e-05,5.66202e-05
95,779.954,0.26655,0.16437,0.83987,0.98961,0.99722,0.99172,0.94857,0.28564,0.14773,0.78737,4.95516e-05,4.95516e-05,4.95516e-05
96,786.249,0.26582,0.16343,0.83112,0.98943,0.99722,0.99165,0.94852,0.27751,0.14193,0.78767,4.2483e-05,4.2483e-05,4.2483e-05
97,792.766,0.26747,0.16524,0.83273,0.98979,0.99722,0.99096,0.94682,0.28319,0.14652,0.78926,3.54144e-05,3.54144e-05,3.54144e-05
98,799.295,0.26194,0.16329,0.83909,0.98914,0.99722,0.99104,0.94776,0.2827,0.14221,0.78924,2.83458e-05,2.83458e-05,2.83458e-05
99,805.956,0.26224,0.16057,0.83488,0.9895,0.99722,0.99085,0.94776,0.28028,0.14301,0.78863,2.12772e-05,2.12772e-05,2.12772e-05
100,812.584,0.25952,0.16032,0.83304,0.98974,0.99722,0.99082,0.948,0.27796,0.14168,0.78803,1.42086e-05,1.42086e-05,1.42086e-05
